CondNum	Version	Item	Condition	Scalar	Subject	Are	Target	Period
2			all_UI	All	rottweilers	are	dogs	.
5			some_F	Some	rottweilers	are	fish	.
6			all_F	All	rottweilers	are	cars	.
1		114	some_UI	Some	salmon	are	fish	.
2			all_UI	All	salmon	are	fish	.
5			some_F	Some	salmon	are	flowers	.
6			all_F	All	salmon	are	dogs	.
1		115	some_UI	Some	saws	are	tools	.
2			all_UI	All	saws	are	tools	.
5			some_F	Some	saws	are	tools	.
6			all_F	All	saws	are	insects	.
1		116	some_UI	Some	screwdrivers	are	tools	.
2			all_UI	All	screwdrivers	are	tools	.
5			some_F	Some	screwdrivers	are	tools	.
6			all_F	All	screwdrivers	are	insects	.
1		117	some_UI	Some	seagulls	are	birds	.
2			all_UI	All	seagulls	are	birds	.
5			some_F	Some	seagulls	are	cars	.
6			all_F	All	seagulls	are	weapons	.
1		118	some_UI	Some	sheep	are	mammals	.
2			all_UI	All	sheep	are	mammals	.
5			some_F	Some	sheep	are	trees	.
6			all_F	All	sheep	are	insects	.
1		119	some_UI	Some	snakes	are	reptiles	.
2			all_UI	All	snakes	are	reptiles	.
5			some_F	Some	snakes	are	weapons	.
6			all_F	All	snakes	are	trees	.
1		120	some_UI	Some	spaniels	are	dogs	.
2			all_UI	All	spaniels	are	dogs	.
5			some_F	Some	spaniels	are	fish	.
6			all_F	All	spaniels	are	cars	.
1		121	some_UI	Some	sparrows	are	birds	.
2			all_UI	All	sparrows	are	birds	.
5			some_F	Some	sparrows	are	cars	.
6			all_F	All	sparrows	are	weapons	.
1		122	some_UI	Some	spears	are	weapons	.
2			all_UI	All	spears	are	weapons	.
5			some_F	Some	spears	are	birds	.
6			all_F	All	spears	are	reptiles	.
1		123	some_UI	Some	spruces	are	trees	.
2			all_UI	All	spruces	are	trees	.
5			some_F	Some	spruces	are	reptiles	.
6			all_F	All	spruces	are	mammals	.
1		124	some_UI	Some	stinkbugs	are	insects	.
2			all_UI	All	stinkbugs	are	insects	.
5			some_F	Some	stinkbugs	are	tools	.
6			all_F	All	stinkbugs	are	fruit	.
1		125	some_UI	Some	Subarus	are	cars	.
2			all_UI	All	Subarus	are	cars	.
5			some_F	Some	Subarus	are	dogs	.
6			all_F	All	Subarus	are	birds	.
1		126	some_UI	Some	swords	are	weapons	.
2			all_UI	All	swords	are	weapons	.
5			some_F	Some	swords	are	birds	.
6			all_F	All	swords	are	reptiles	.
1		127	some_UI	Some	sycamores	are	trees	.
2			all_UI	All	sycamores	are	trees	.
5			some_F	Some	sycamores	are	reptiles	.
6			all_F	All	sycamores	are	mammals	.
1		128	some_UI	Some	termites	are	insects	.
2			all_UI	All	termites	are	insects	.
5			some_F	Some	termites	are	tools	.
6			all_F	All	termites	are	fruit	.
1		129	some_UI	Some	terriers	are	dogs	.
2			all_UI	All	terriers	are	dogs	.
5			some_F	Some	terriers	are	fish	.
6			all_F	All	terriers	are	cars	.
1		130	some_UI	Some	tilapia	are	fish	.
2			all_UI	All	tilapia	are	fish	.
5			some_F	Some	tilapia	are	flowers	.
6			all_F	All	tilapia	are	dogs	.
1		131	some_UI	Some	tortoises	are	reptiles	.
2			all_UI	All	tortoises	are	reptiles	.
5			some_F	Some	tortoises	are	weapons	.
6			all_F	All	tortoises	are	trees	.
1		132	some_UI	Some	Toyotas	are	cars	.
2			all_UI	All	Toyotas	are	cars	.
5			some_F	Some	Toyotas	are	dogs	.
6			all_F	All	Toyotas	are	birds	.
1		133	some_UI	Some	trout	are	fish	.
